2019-09-08 09:38:06:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:06:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:06:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:06:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:06:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:07:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:07:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:07:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:07:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:07:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:07:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:07:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:07:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:07:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:07:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:08:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:08:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:08:056   192.168.1.13:12345接收数据：+OCCH_ALL:1

2019-09-08 09:38:08:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:08:232   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:08:337   192.168.1.13:12345接收数据：+OCCH_ALL:0

2019-09-08 09:38:08:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:08:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:08:557   192.168.1.13:12345接收数据：+OCCH_ALL:1

2019-09-08 09:38:08:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:08:632   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:08:637   192.168.1.13:12345接收数据：+OCCH_ALL:0

2019-09-08 09:38:08:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:08:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:09:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:09:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:09:117   192.168.1.13:12345接收数据：+OCCH_ALL:1

2019-09-08 09:38:09:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:09:232   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:09:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:09:432   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:09:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:09:632   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:09:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:09:832   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:10:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:10:031   向192.168.1.13:12345发送AT指令！
2019-09-08 09:38:10:034   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:10:035   192.168.1.13:12345接收数据：OK

2019-09-08 09:38:10:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:10:232   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:10:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:10:432   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:10:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:10:632   192.168.1.13:12345接收数据：+OCCH1:1

